Calories,Gender,Age,Weight,Heart_Rate,Body_Temp,Temp_Stress,Weight_Duration,Stress_Effort
231.0,0,68,94.0,105.0,40.8,4284.0,2726.0,13044780.0
66.0,1,20,60.0,94.0,40.3,3788.2,840.0,4985271.2
26.0,0,69,79.0,88.0,38.7,3405.6,395.0,1498464.0
71.0,1,34,71.0,100.0,40.5,4050.0,923.0,5265000.0
35.0,1,27,58.0,81.0,39.8,3223.8,580.0,2611278.0
123.0,1,36,50.0,96.0,40.7,3907.2,1150.0,8627097.6
112.0,1,33,56.0,95.0,40.5,3847.5,1232.0,8041275.0
143.0,0,41,85.0,100.0,40.7,4070.0,2125.0,10175000.0
134.0,0,60,94.0,97.0,40.4,3918.8,1974.0,7982595.6
72.0,1,26,51.0,90.0,40.2,3618.0,816.0,5209920.0
3.0,1,36,76.0,74.0,37.8,2797.2,76.0,206992.8
92.0,1,21,56.0,100.0,40.0,4000.0,952.0,6800000.0
58.0,0,66,79.0,90.0,40.0,3600.0,869.0,3564000.0
88.0,1,32,54.0,93.0,40.4,3757.2,972.0,6289552.8
7.0,0,53,85.0,82.0,38.1,3124.2,170.0,512368.8
170.0,1,39,62.0,104.0,40.8,4243.2,1736.0,12356198.4
11.0,0,39,82.0,82.0,38.6,3165.2,328.0,1038185.6
43.0,0,46,67.0,89.0,40.2,3577.8,737.0,3502666.2
15.0,1,27,65.0,85.0,38.6,3281.0,260.0,1115540.0
74.0,0,50,86.0,94.0,40.2,3778.8,1204.0,4972900.8
29.0,0,67,93.0,77.0,39.2,3018.4,744.0,1859334.4
32.0,1,31,50.0,84.0,39.5,3318.0,400.0,2229696.0
10.0,1,33,60.0,80.0,38.7,3096.0,180.0,743040.0
155.0,1,20,59.0,100.0,41.0,4100.0,1711.0,11890000.0
3.0,0,48,85.0,80.0,37.7,3016.0,85.0,241280.0
24.0,0,29,75.0,83.0,39.7,3295.1,750.0,2734933.0
12.0,0,33,73.0,78.0,39.3,3065.4,511.0,1673708.4
10.0,0,42,88.0,83.0,38.9,3228.7,264.0,803946.3
195.0,1,62,59.0,106.0,41.2,4367.2,1711.0,13424772.8
5.0,0,38,75.0,81.0,38.2,3094.2,150.0,501260.4
69.0,0,20,88.0,97.0,40.5,3928.5,1408.0,6097032.0
136.0,1,25,59.0,102.0,40.3,4110.6,1416.0,10062748.8
80.0,1,24,59.0,91.0,40.2,3658.2,1062.0,5992131.6
107.0,1,42,68.0,93.0,40.8,3794.4,1496.0,7763342.4
200.0,0,22,84.0,114.0,41.0,4674.0,2436.0,15452244.0
56.0,1,74,59.0,93.0,39.6,3682.8,590.0,3425004.0
50.0,1,70,59.0,88.0,40.0,3520.0,590.0,3097600.0
100.0,1,26,80.0,96.0,40.5,3888.0,1680.0,7838208.0
200.0,0,44,86.0,114.0,40.8,4651.2,2150.0,13255920.0
4.0,0,61,86.0,81.0,38.3,3102.3,86.0,251286.3
70.0,1,68,57.0,92.0,40.1,3689.2,741.0,4412283.2
127.0,1,61,70.0,104.0,40.5,4212.0,1400.0,8760960.0
197.0,0,63,80.0,108.0,40.8,4406.4,2000.0,11897280.0
113.0,1,54,66.0,98.0,40.1,3929.8,1320.0,7702408.0
11.0,1,54,66.0,80.0,38.9,3112.0,198.0,746880.0
82.0,1,47,55.0,93.0,40.5,3766.5,880.0,5604552.0
26.0,0,33,86.0,86.0,39.9,3431.4,688.0,2360803.2
141.0,1,24,66.0,105.0,40.6,4263.0,1584.0,10742760.0
92.0,0,24,98.0,96.0,40.6,3897.6,1960.0,7483392.0
5.0,0,48,59.0,79.0,38.0,3002.0,118.0,474316.0
30.0,0,35,93.0,83.0,39.7,3295.1,930.0,2734933.0
3.0,0,21,71.0,78.0,38.5,3003.0,213.0,702702.0
37.0,1,21,73.0,90.0,39.6,3564.0,657.0,2886840.0
147.0,1,22,62.0,105.0,40.6,4263.0,1550.0,11190375.0
8.0,1,69,69.0,80.0,38.1,3048.0,138.0,487680.0
159.0,0,53,101.0,106.0,40.7,4314.2,2121.0,9603409.2
93.0,1,68,58.0,100.0,40.3,4030.0,870.0,6045000.0
173.0,1,69,65.0,113.0,40.4,4565.2,1495.0,11864954.8
89.0,0,28,101.0,95.0,40.6,3857.0,1919.0,6961885.0
31.0,0,70,89.0,82.0,39.3,3222.6,623.0,1849772.4
35.0,1,36,64.0,84.0,39.6,3326.4,576.0,2514758.4
94.0,1,77,80.0,98.0,40.6,3978.8,1280.0,6238758.4
49.0,1,32,63.0,99.0,39.7,3930.3,567.0,3501897.3
54.0,1,62,77.0,84.0,40.4,3393.6,1001.0,3705811.2
117.0,1,64,56.0,97.0,40.4,3918.8,1120.0,7602472.0
173.0,0,45,79.0,104.0,40.6,4222.4,2133.0,11856499.2
99.0,0,45,61.0,97.0,40.7,3947.9,1220.0,7658926.0
45.0,1,22,71.0,93.0,39.8,3701.4,710.0,3442302.0
166.0,0,45,69.0,113.0,40.6,4587.8,1518.0,11405270.8
202.0,1,66,69.0,111.0,40.9,4539.9,1932.0,14110009.2
107.0,0,31,83.0,101.0,40.9,4130.9,1660.0,8344418.0
199.0,1,57,68.0,109.0,40.7,4436.3,1972.0,14023144.3
25.0,0,53,93.0,90.0,39.1,3519.0,465.0,1583550.0
23.0,1,22,67.0,77.0,39.5,3041.5,536.0,1873564.0
200.0,0,67,92.0,108.0,40.7,4395.6,2208.0,11393395.2
6.0,1,27,64.0,76.0,38.2,2903.2,128.0,441286.4
7.0,0,57,83.0,79.0,38.1,3009.9,166.0,475564.2
113.0,1,49,68.0,99.0,40.6,4019.4,1360.0,7958412.0
188.0,1,39,63.0,108.0,40.7,4395.6,1827.0,13767019.2
103.0,0,47,72.0,96.0,40.3,3868.8,1440.0,7428096.0
128.0,0,62,101.0,103.0,40.3,4150.9,1717.0,7268225.9
130.0,0,41,89.0,99.0,40.7,4029.3,2047.0,9174716.1
27.0,1,34,50.0,83.0,39.3,3261.9,350.0,1895163.9
185.0,1,40,62.0,111.0,41.2,4573.2,1674.0,13705880.4
57.0,1,55,57.0,92.0,39.8,3661.6,627.0,3705539.2
65.0,0,44,88.0,94.0,40.0,3760.0,1144.0,4594720.0
91.0,1,45,60.0,99.0,40.4,3999.6,960.0,6335366.4
120.0,1,49,64.0,105.0,40.4,4242.0,1216.0,8462790.0
70.0,1,46,68.0,101.0,40.1,4050.1,816.0,4908721.2
39.0,0,25,100.0,94.0,39.8,3741.2,900.0,3165055.2
136.0,0,68,80.0,95.0,40.5,3847.5,1760.0,8041275.0
77.0,1,25,64.0,101.0,40.2,4060.2,896.0,5741122.8
42.0,1,31,67.0,93.0,39.5,3673.5,603.0,3074719.5
41.0,0,57,91.0,95.0,39.2,3724.0,637.0,2476460.0
59.0,1,27,59.0,88.0,39.9,3511.2,826.0,4325798.4
179.0,0,40,98.0,110.0,40.7,4477.0,2352.0,11819280.0
6.0,1,57,74.0,73.0,38.6,2817.8,148.0,411398.8
13.0,1,23,62.0,74.0,39.2,2900.8,310.0,1073296.0
147.0,0,23,87.0,110.0,40.0,4400.0,2001.0,11132000.0
180.0,0,43,88.0,107.0,40.7,4354.9,2288.0,12115331.8
101.0,0,74,107.0,96.0,40.1,3849.6,1498.0,5173862.4
150.0,1,45,53.0,106.0,40.7,4314.2,1219.0,10518019.6
179.0,1,31,60.0,115.0,40.8,4692.0,1500.0,13489500.0
23.0,0,21,93.0,93.0,39.2,3645.6,558.0,2034244.8
10.0,0,50,96.0,80.0,38.3,3064.0,288.0,735360.0
39.0,0,39,74.0,93.0,39.5,3673.5,666.0,3074719.5
247.0,0,57,81.0,112.0,40.9,4580.8,2430.0,15391488.0
89.0,1,26,53.0,92.0,40.5,3726.0,1007.0,6513048.0
141.0,0,34,83.0,102.0,40.9,4171.8,2075.0,10638090.0
18.0,1,55,62.0,87.0,39.1,3401.7,248.0,1183791.6
70.0,1,52,67.0,89.0,40.6,3613.4,1005.0,4823889.0
185.0,0,21,90.0,110.0,40.8,4488.0,2610.0,14316720.0
54.0,1,20,45.0,94.0,40.1,3769.4,495.0,3897559.6
207.0,1,79,60.0,107.0,40.8,4365.6,1740.0,13546456.8
189.0,0,21,91.0,114.0,41.0,4674.0,2457.0,14386572.0
6.0,0,50,74.0,82.0,38.1,3124.2,148.0,512368.8
60.0,1,29,76.0,97.0,39.9,3870.3,912.0,4505029.2
23.0,0,22,92.0,92.0,39.0,3588.0,552.0,1980576.0
186.0,1,28,60.0,113.0,40.8,4610.4,1620.0,14066330.4
178.0,0,38,93.0,104.0,40.9,4253.6,2604.0,12386483.2
122.0,0,23,73.0,102.0,40.7,4151.4,1825.0,10586070.0
166.0,1,68,68.0,108.0,40.5,4374.0,1632.0,11337408.0
158.0,0,79,86.0,102.0,40.1,4090.2,1720.0,8344008.0
7.0,1,35,70.0,83.0,38.4,3187.2,140.0,529075.2
143.0,0,67,96.0,105.0,40.5,4252.5,1728.0,8037225.0
43.0,1,21,52.0,82.0,39.8,3263.6,624.0,3211382.4
86.0,1,44,49.0,92.0,40.2,3698.4,833.0,5784297.6
128.0,1,43,72.0,100.0,40.7,4070.0,1656.0,9361000.0
182.0,0,21,79.0,111.0,41.0,4551.0,2291.0,14649669.0
52.0,1,32,70.0,98.0,39.7,3890.6,700.0,3812788.0
236.0,0,79,91.0,107.0,40.4,4322.8,2457.0,12488569.2
114.0,0,51,96.0,97.0,40.6,3938.2,1824.0,7258102.6
64.0,1,60,67.0,99.0,39.7,3930.3,737.0,4280096.7
171.0,0,49,86.0,103.0,40.8,4202.4,2236.0,11254027.2
19.0,0,46,84.0,82.0,39.2,3214.4,504.0,1581484.8
144.0,1,35,54.0,111.0,40.5,4495.5,1134.0,10479010.5
37.0,0,31,76.0,94.0,39.7,3731.8,684.0,3157102.8
185.0,0,42,78.0,110.0,41.4,4554.0,2028.0,13024440.0
60.0,1,66,69.0,87.0,39.8,3462.6,897.0,3916200.6
127.0,0,52,90.0,96.0,40.5,3888.0,1980.0,8211456.0
149.0,0,59,73.0,101.0,40.4,4080.4,1679.0,9478769.2
78.0,0,23,71.0,102.0,40.1,4090.2,1136.0,6675206.4
24.0,1,49,63.0,91.0,38.9,3539.9,315.0,1610654.5
143.0,1,25,57.0,107.0,40.8,4365.6,1311.0,10743741.6
143.0,0,20,84.0,104.0,41.0,4264.0,2268.0,11973312.0
71.0,1,28,66.0,94.0,40.1,3769.4,990.0,5314854.0
58.0,0,60,90.0,90.0,40.2,3618.0,990.0,3581820.0
71.0,1,29,77.0,95.0,40.4,3838.0,1155.0,5469150.0
20.0,0,40,87.0,88.0,39.5,3476.0,435.0,1529440.0
78.0,0,26,93.0,96.0,40.3,3868.8,1581.0,6313881.6
93.0,1,26,76.0,97.0,40.4,3918.8,1444.0,7222348.4
